;Timestamp;Pressure_data
[2025-12-09 12:22:07.614] ;1043;95867.64
[2025-12-09 12:22:07.624] ;1055;95868.33
[2025-12-09 12:22:07.647] ;1068;95868.6
[2025-12-09 12:22:07.671] ;1079;95868.58
[2025-12-09 12:22:07.675] ;1091;95868.5
[2025-12-09 12:22:07.695] ;1103;95868.46
[2025-12-09 12:22:07.711] ;1116;95868.36
[2025-12-09 12:22:07.725] ;1128;95868.49
[2025-12-09 12:22:07.742] ;1140;95868.58
[2025-12-09 12:22:07.758] ;1153;95868.36
[2025-12-09 12:22:07.774] ;1165;95867.96
[2025-12-09 12:22:07.791] ;1177;95868.72
[2025-12-09 12:22:07.807] ;1189;95869.11
[2025-12-09 12:22:07.824] ;1203;95868.85
[2025-12-09 12:22:07.839] ;1220;95869.22
[2025-12-09 12:22:07.851] ;1236;95869.47
[2025-12-09 12:22:07.867] ;1253;95869.41
[2025-12-09 12:22:07.891] ;1269;95869.08
[2025-12-09 12:22:07.909] ;1287;95869.92
[2025-12-09 12:22:07.925] ;1303;95869.8
[2025-12-09 12:22:07.942] ;1319;95869.99
[2025-12-09 12:22:07.957] ;1336;95869.75
[2025-12-09 12:22:07.973] ;1353;95870.16
[2025-12-09 12:22:07.991] ;1370;95870.52
[2025-12-09 12:22:08.006] ;1386;95869.94
[2025-12-09 12:22:08.023] ;1402;95870.99
[2025-12-09 12:22:08.040] ;1420;95870.63
[2025-12-09 12:22:08.056] ;1436;95871.08
[2025-12-09 12:22:08.073] ;1453;95871.11
[2025-12-09 12:22:08.090] ;1469;95870.39
[2025-12-09 12:22:08.106] ;1486;95871.52
[2025-12-09 12:22:08.123] ;1503;95871.57
[2025-12-09 12:22:08.140] ;1519;95871.57
[2025-12-09 12:22:08.156] ;1536;95872.05
[2025-12-09 12:22:08.172] ;1553;95871.44
[2025-12-09 12:22:08.199] ;1569;95872.33
[2025-12-09 12:22:08.207] ;1586;95871.99
[2025-12-09 12:22:08.224] ;1602;95872.32
[2025-12-09 12:22:08.240] ;1619;95872.91
[2025-12-09 12:22:08.256] ;1636;95872.32
[2025-12-09 12:22:08.273] ;1652;95873.03
[2025-12-09 12:22:08.290] ;1669;95872.94
[2025-12-09 12:22:08.307] ;1686;95873.16
[2025-12-09 12:22:08.323] ;1702;95873.57
[2025-12-09 12:22:08.340] ;1719;95873.88
[2025-12-09 12:22:08.356] ;1735;95873.64
[2025-12-09 12:22:08.373] ;1753;95873.67
[2025-12-09 12:22:08.389] ;1769;95873.97
[2025-12-09 12:22:08.405] ;1785;95873.92
[2025-12-09 12:22:08.422] ;1802;95874.47
[2025-12-09 12:22:08.439] ;1819;95874.24
[2025-12-09 12:22:08.455] ;1836;95874.19
[2025-12-09 12:22:08.473] ;1852;95874.86
[2025-12-09 12:22:08.490] ;1868;95874.58
[2025-12-09 12:22:08.506] ;1886;95875.3
[2025-12-09 12:22:08.523] ;1902;95875.38
[2025-12-09 12:22:08.539] ;1918;95875.66
[2025-12-09 12:22:08.556] ;1935;95875.44
[2025-12-09 12:22:08.573] ;1952;95875.39
[2025-12-09 12:22:08.589] ;1969;95876.02
[2025-12-09 12:22:08.606] ;1985;95876.17
[2025-12-09 12:22:08.622] ;2001;95876.33
[2025-12-09 12:22:08.638] ;2019;95875.94
[2025-12-09 12:22:08.655] ;2035;95876.14
[2025-12-09 12:22:08.671] ;2052;95876.49
[2025-12-09 12:22:08.688] ;2068;95876.27
[2025-12-09 12:22:08.705] ;2085;95877.1
[2025-12-09 12:22:08.714] ;2102;95876.89
[2025-12-09 12:22:08.731] ;2118;95877.52
[2025-12-09 12:22:08.748] ;2135;95877.21
[2025-12-09 12:22:08.772] ;2152;95877.33
[2025-12-09 12:22:08.789] ;2168;95877.74
[2025-12-09 12:22:08.806] ;2185;95877.19
[2025-12-09 12:22:08.823] ;2201;95877.32
[2025-12-09 12:22:08.840] ;2219;95877.63
[2025-12-09 12:22:08.856] ;2235;95877.91
[2025-12-09 12:22:08.872] ;2251;95878.8
[2025-12-09 12:22:08.888] ;2268;95878.52
[2025-12-09 12:22:08.905] ;2285;95878.41
[2025-12-09 12:22:08.914] ;2301;95878.83
[2025-12-09 12:22:08.938] ;2318;95879.35
[2025-12-09 12:22:08.952] ;2334;95879.22
[2025-12-09 12:22:08.963] ;2352;95878.61
[2025-12-09 12:22:08.981] ;2368;95879.57
[2025-12-09 12:22:08.996] ;2384;95879.1
[2025-12-09 12:22:09.012] ;2401;95879.42
[2025-12-09 12:22:09.029] ;2418;95879.92
[2025-12-09 12:22:09.054] ;2435;95879.92
[2025-12-09 12:22:09.073] ;2451;95879.67
[2025-12-09 12:22:09.087] ;2467;95880.57
[2025-12-09 12:22:09.106] ;2485;95879.78
[2025-12-09 12:22:09.122] ;2501;95880.22
[2025-12-09 12:22:09.136] ;2518;95880.94
[2025-12-09 12:22:09.153] ;2534;95880.6
[2025-12-09 12:22:09.169] ;2551;95880.58
[2025-12-09 12:22:09.188] ;2568;95881.08
[2025-12-09 12:22:09.203] ;2584;95881.72
[2025-12-09 12:22:09.219] ;2600;95880.99
[2025-12-09 12:22:09.235] ;2618;95881.5
[2025-12-09 12:22:09.251] ;2634;95881.83
[2025-12-09 12:22:09.268] ;2651;95881.25
[2025-12-09 12:22:09.285] ;2667;95881.83
[2025-12-09 12:22:09.301] ;2684;95881.75
[2025-12-09 12:22:09.318] ;2701;95881.89
[2025-12-09 12:22:09.339] ;2717;95881.83
[2025-12-09 12:22:09.355] ;2734;95881.96
[2025-12-09 12:22:09.372] ;2751;95882.72
[2025-12-09 12:22:09.389] ;2767;95882.49
[2025-12-09 12:22:09.405] ;2784;95883.49
[2025-12-09 12:22:09.421] ;2800;95882.58
[2025-12-09 12:22:09.432] ;2818;95883.28
[2025-12-09 12:22:09.450] ;2834;95883.19
[2025-12-09 12:22:09.466] ;2850;95883.11
[2025-12-09 12:22:09.483] ;2867;95882.94
[2025-12-09 12:22:09.499] ;2884;95883.47
[2025-12-09 12:22:09.516] ;2900;95883.77
[2025-12-09 12:22:09.532] ;2917;95883.78
[2025-12-09 12:22:09.549] ;2933;95883.47
[2025-12-09 12:22:09.564] ;2951;95883.86
[2025-12-09 12:22:09.581] ;2967;95884.33
[2025-12-09 12:22:09.597] ;2983;95884.33
[2025-12-09 12:22:09.614] ;3000;95884.42
[2025-12-09 12:22:09.638] ;3017;95884.46
[2025-12-09 12:22:09.654] ;3034;95884.5
[2025-12-09 12:22:09.671] ;3050;95884.77
[2025-12-09 12:22:09.687] ;3066;95885.33
[2025-12-09 12:22:09.697] ;3084;95884.82
[2025-12-09 12:22:09.714] ;3100;95885.55
[2025-12-09 12:22:09.731] ;3117;95884.96
[2025-12-09 12:22:09.752] ;3133;95885.57
[2025-12-09 12:22:09.764] ;3150;95885.77
[2025-12-09 12:22:09.780] ;3167;95885.74
[2025-12-09 12:22:09.797] ;3183;95885.22
[2025-12-09 12:22:09.816] ;3200;95885.69
[2025-12-09 12:22:09.831] ;3217;95886.38
[2025-12-09 12:22:09.849] ;3233;95885.63
[2025-12-09 12:22:09.863] ;3250;95886.27
[2025-12-09 12:22:09.880] ;3266;95886.47
[2025-12-09 12:22:09.897] ;3283;95886.36
[2025-12-09 12:22:09.921] ;3300;95886.66
[2025-12-09 12:22:09.931] ;3316;95886.74
[2025-12-09 12:22:09.947] ;3333;95886.64
[2025-12-09 12:22:09.970] ;3350;95886.96
[2025-12-09 12:22:09.981] ;3366;95886.66
[2025-12-09 12:22:09.997] ;3383;95887.67
[2025-12-09 12:22:10.013] ;3399;95887.33
[2025-12-09 12:22:10.029] ;3417;95887.63
[2025-12-09 12:22:10.046] ;3433;95887.13
[2025-12-09 12:22:10.063] ;3449;95887.6
[2025-12-09 12:22:10.080] ;3466;95887.72
[2025-12-09 12:22:10.097] ;3483;95887.96
[2025-12-09 12:22:10.114] ;3500;95888.25
[2025-12-09 12:22:10.129] ;3516;95888.58
[2025-12-09 12:22:10.147] ;3532;95888.41
[2025-12-09 12:22:10.163] ;3550;95888.17
[2025-12-09 12:22:10.180] ;3566;95888.17
[2025-12-09 12:22:10.196] ;3582;95888.72
[2025-12-09 12:22:10.213] ;3599;95888.14
[2025-12-09 12:22:10.230] ;3616;95888.96
[2025-12-09 12:22:10.246] ;3633;95888.94
[2025-12-09 12:22:10.263] ;3649;95889.27
[2025-12-09 12:22:10.280] ;3665;95889.38
[2025-12-09 12:22:10.296] ;3683;95890.11
[2025-12-09 12:22:10.313] ;3699;95888.85
[2025-12-09 12:22:10.330] ;3716;95889.57
[2025-12-09 12:22:10.346] ;3732;95889.71
[2025-12-09 12:22:10.363] ;3749;95889.74
[2025-12-09 12:22:10.380] ;3766;95889.82
[2025-12-09 12:22:10.397] ;3782;95889.8
[2025-12-09 12:22:10.413] ;3799;95890.25
[2025-12-09 12:22:10.430] ;3816;95890.57
[2025-12-09 12:22:10.446] ;3832;95890.05
[2025-12-09 12:22:10.463] ;3849;95890.47
[2025-12-09 12:22:10.479] ;3865;95890.77
[2025-12-09 12:22:10.496] ;3883;95890.86
[2025-12-09 12:22:10.513] ;3899;95890.49
[2025-12-09 12:22:10.529] ;3915;95890.72
[2025-12-09 12:22:10.546] ;3932;95891.11
[2025-12-09 12:22:10.563] ;3949;95890.69
[2025-12-09 12:22:10.579] ;3965;95891.14
[2025-12-09 12:22:10.596] ;3982;95891.64
[2025-12-09 12:22:10.613] ;3998;95890.83
