;Timestamp;Pressure_data
[2025-12-09 15:06:32.415] ;1043;95286.41
[2025-12-09 15:06:32.430] ;1055;95287
[2025-12-09 15:06:32.447] ;1068;95286.99
[2025-12-09 15:06:32.460] ;1079;95286.67
[2025-12-09 15:06:32.476] ;1091;95287.35
[2025-12-09 15:06:32.495] ;1103;95287.36
[2025-12-09 15:06:32.516] ;1116;95286.6
[2025-12-09 15:06:32.530] ;1128;95287.19
[2025-12-09 15:06:32.547] ;1140;95286.88
[2025-12-09 15:06:32.564] ;1153;95287.28
[2025-12-09 15:06:32.580] ;1165;95287.52
[2025-12-09 15:06:32.596] ;1177;95287.74
[2025-12-09 15:06:32.613] ;1189;95287.49
[2025-12-09 15:06:32.629] ;1203;95287.71
[2025-12-09 15:06:32.645] ;1220;95287.42
[2025-12-09 15:06:32.662] ;1236;95287.55
[2025-12-09 15:06:32.679] ;1253;95287.89
[2025-12-09 15:06:32.695] ;1269;95288.03
[2025-12-09 15:06:32.712] ;1287;95288.71
[2025-12-09 15:06:32.729] ;1303;95288.66
[2025-12-09 15:06:32.745] ;1319;95288.66
[2025-12-09 15:06:32.762] ;1336;95289.38
[2025-12-09 15:06:32.779] ;1353;95289.05
[2025-12-09 15:06:32.795] ;1370;95289.21
[2025-12-09 15:06:32.812] ;1386;95289.86
[2025-12-09 15:06:32.828] ;1402;95289.07
[2025-12-09 15:06:32.844] ;1420;95290.05
[2025-12-09 15:06:32.861] ;1436;95289.85
[2025-12-09 15:06:32.879] ;1453;95290.11
[2025-12-09 15:06:32.895] ;1469;95290.42
[2025-12-09 15:06:32.914] ;1486;95290.55
[2025-12-09 15:06:32.929] ;1503;95290.61
[2025-12-09 15:06:32.946] ;1519;95291.32
[2025-12-09 15:06:32.960] ;1536;95290.64
[2025-12-09 15:06:32.977] ;1553;95291.39
[2025-12-09 15:06:32.995] ;1569;95291.41
[2025-12-09 15:06:33.009] ;1586;95291.86
[2025-12-09 15:06:33.025] ;1602;95292.16
[2025-12-09 15:06:33.042] ;1619;95292.11
[2025-12-09 15:06:33.059] ;1636;95291.91
[2025-12-09 15:06:33.076] ;1652;95292.16
[2025-12-09 15:06:33.101] ;1669;95292.02
[2025-12-09 15:06:33.109] ;1686;95292.44
[2025-12-09 15:06:33.126] ;1702;95292.39
[2025-12-09 15:06:33.142] ;1719;95292.66
[2025-12-09 15:06:33.159] ;1735;95293.08
[2025-12-09 15:06:33.176] ;1753;95292.77
[2025-12-09 15:06:33.193] ;1769;95293.52
[2025-12-09 15:06:33.208] ;1785;95293.55
[2025-12-09 15:06:33.225] ;1802;95293.63
[2025-12-09 15:06:33.242] ;1819;95293.47
[2025-12-09 15:06:33.258] ;1836;95293.28
[2025-12-09 15:06:33.275] ;1852;95294.02
[2025-12-09 15:06:33.294] ;1868;95294.16
[2025-12-09 15:06:33.308] ;1886;95293.52
[2025-12-09 15:06:33.325] ;1902;95294.03
[2025-12-09 15:06:33.341] ;1918;95294.3
[2025-12-09 15:06:33.358] ;1935;95294.03
[2025-12-09 15:06:33.457] ;1952;95294.66
[2025-12-09 15:06:33.457] ;1969;95294.42
[2025-12-09 15:06:33.464] ;1985;95294.78
[2025-12-09 15:06:33.466] ;2001;95295.08
[2025-12-09 15:06:33.466] ;2019;95295.52
[2025-12-09 15:06:33.466] ;2035;95296
[2025-12-09 15:06:33.475] ;2052;95295.86
[2025-12-09 15:06:33.494] ;2068;95295.99
[2025-12-09 15:06:33.516] ;2085;95296.07
[2025-12-09 15:06:33.531] ;2102;95296.5
[2025-12-09 15:06:33.541] ;2118;95296.49
[2025-12-09 15:06:33.558] ;2135;95296.39
[2025-12-09 15:06:33.574] ;2152;95296.42
[2025-12-09 15:06:33.595] ;2168;95296.55
[2025-12-09 15:06:33.608] ;2185;95296.99
[2025-12-09 15:06:33.626] ;2201;95296.99
[2025-12-09 15:06:33.641] ;2219;95297.25
[2025-12-09 15:06:33.658] ;2235;95297.41
[2025-12-09 15:06:33.676] ;2251;95297.33
[2025-12-09 15:06:33.695] ;2268;95297.08
[2025-12-09 15:06:33.708] ;2285;95297.46
[2025-12-09 15:06:33.725] ;2301;95297.72
[2025-12-09 15:06:33.741] ;2318;95297.97
