;Timestamp;Pressure_data
[2025-12-09 12:16:16.918] ;1043;95866.96
[2025-12-09 12:16:16.927] ;1055;95866.97
[2025-12-09 12:16:16.943] ;1068;95867
[2025-12-09 12:16:16.960] ;1079;95867.19
[2025-12-09 12:16:16.976] ;1091;95868.24
[2025-12-09 12:16:16.993] ;1103;95867.89
[2025-12-09 12:16:17.010] ;1116;95868.13
[2025-12-09 12:16:17.028] ;1128;95868.74
[2025-12-09 12:16:17.042] ;1140;95869.07
[2025-12-09 12:16:17.059] ;1153;95869.36
[2025-12-09 12:16:17.076] ;1165;95869.32
[2025-12-09 12:16:17.092] ;1177;95869.08
[2025-12-09 12:16:17.109] ;1189;95869.67
[2025-12-09 12:16:17.125] ;1203;95869.64
[2025-12-09 12:16:17.141] ;1220;95869.96
[2025-12-09 12:16:17.157] ;1236;95870.08
[2025-12-09 12:16:17.174] ;1253;95870.91
[2025-12-09 12:16:17.191] ;1269;95871.66
[2025-12-09 12:16:17.207] ;1287;95871.32
[2025-12-09 12:16:17.226] ;1303;95871.8
[2025-12-09 12:16:17.240] ;1319;95871.72
[2025-12-09 12:16:17.256] ;1336;95872.3
[2025-12-09 12:16:17.273] ;1353;95872.47
[2025-12-09 12:16:17.289] ;1370;95872.52
[2025-12-09 12:16:17.305] ;1386;95873.05
[2025-12-09 12:16:17.323] ;1402;95873.35
[2025-12-09 12:16:17.340] ;1420;95873.55
[2025-12-09 12:16:17.358] ;1436;95874.16
[2025-12-09 12:16:17.376] ;1453;95874.58
[2025-12-09 12:16:17.392] ;1469;95875.19
[2025-12-09 12:16:17.404] ;1486;95874.89
[2025-12-09 12:16:17.421] ;1503;95876.33
[2025-12-09 12:16:17.442] ;1519;95875.96
[2025-12-09 12:16:17.454] ;1536;95876.19
[2025-12-09 12:16:17.478] ;1553;95876.78
[2025-12-09 12:16:17.495] ;1569;95876.92
[2025-12-09 12:16:17.511] ;1586;95876.92
[2025-12-09 12:16:17.527] ;1602;95877.74
[2025-12-09 12:16:17.543] ;1619;95878.33
