;Timestamp;Pressure_data
[2025-12-09 13:29:26.395] ;1043;95754.72
[2025-12-09 13:29:26.402] ;1055;95754.85
[2025-12-09 13:29:26.418] ;1068;95755.1
[2025-12-09 13:29:26.438] ;1079;95755.46
[2025-12-09 13:29:26.455] ;1091;95755.24
[2025-12-09 13:29:26.471] ;1103;95754.71
[2025-12-09 13:29:26.483] ;1116;95754.99
[2025-12-09 13:29:26.504] ;1128;95754.94
[2025-12-09 13:29:26.520] ;1140;95756.22
[2025-12-09 13:29:26.536] ;1153;95755.27
[2025-12-09 13:29:26.553] ;1165;95755.97
[2025-12-09 13:29:26.574] ;1177;95755.6
[2025-12-09 13:29:26.590] ;1189;95755.82
[2025-12-09 13:29:26.606] ;1203;95756.36
[2025-12-09 13:29:26.623] ;1220;95756.24
[2025-12-09 13:29:26.639] ;1236;95756.08
[2025-12-09 13:29:26.656] ;1253;95756.6
[2025-12-09 13:29:26.672] ;1269;95756.8
[2025-12-09 13:29:26.689] ;1287;95756.61
[2025-12-09 13:29:26.706] ;1303;95757.19
[2025-12-09 13:29:26.721] ;1319;95757.03
[2025-12-09 13:29:26.738] ;1336;95757.14
[2025-12-09 13:29:26.755] ;1353;95757.1
[2025-12-09 13:29:26.771] ;1370;95757.41
[2025-12-09 13:29:26.787] ;1386;95757.85
[2025-12-09 13:29:26.803] ;1402;95758.67
[2025-12-09 13:29:26.820] ;1420;95758.35
[2025-12-09 13:29:26.836] ;1436;95757.85
[2025-12-09 13:29:26.852] ;1453;95758.28
[2025-12-09 13:29:26.873] ;1469;95758.86
[2025-12-09 13:29:26.885] ;1486;95759.02
[2025-12-09 13:29:26.906] ;1503;95758.85
[2025-12-09 13:29:26.918] ;1519;95759.19
[2025-12-09 13:29:26.938] ;1536;95759.3
[2025-12-09 13:29:26.951] ;1553;95759.5
[2025-12-09 13:29:26.968] ;1569;95759.24
[2025-12-09 13:29:26.985] ;1586;95759.6
[2025-12-09 13:29:27.001] ;1602;95759.86
[2025-12-09 13:29:27.021] ;1619;95760.28
[2025-12-09 13:29:27.036] ;1636;95760.32
[2025-12-09 13:29:27.051] ;1652;95760.64
[2025-12-09 13:29:27.067] ;1669;95761
[2025-12-09 13:29:27.084] ;1686;95761.38
[2025-12-09 13:29:27.100] ;1702;95761.11
[2025-12-09 13:29:27.117] ;1719;95761.35
[2025-12-09 13:29:27.133] ;1735;95761.53
[2025-12-09 13:29:27.150] ;1753;95761.88
[2025-12-09 13:29:27.167] ;1769;95762
[2025-12-09 13:29:27.183] ;1785;95761.72
[2025-12-09 13:29:27.199] ;1802;95761.83
[2025-12-09 13:29:27.216] ;1819;95762.32
[2025-12-09 13:29:27.237] ;1836;95762.53
[2025-12-09 13:29:27.249] ;1852;95762.05
[2025-12-09 13:29:27.266] ;1868;95762.71
[2025-12-09 13:29:27.282] ;1886;95762.47
[2025-12-09 13:29:27.299] ;1902;95763.41
[2025-12-09 13:29:27.317] ;1918;95762.6
[2025-12-09 13:29:27.332] ;1935;95763.28
[2025-12-09 13:29:27.349] ;1952;95763.33
[2025-12-09 13:29:27.366] ;1969;95763.86
[2025-12-09 13:29:27.383] ;1985;95764.35
[2025-12-09 13:29:27.398] ;2001;95764.41
[2025-12-09 13:29:27.414] ;2019;95764.83
[2025-12-09 13:29:27.439] ;2035;95764.07
[2025-12-09 13:29:27.455] ;2052;95764.72
[2025-12-09 13:29:27.472] ;2068;95764.74
[2025-12-09 13:29:27.483] ;2085;95765.16
[2025-12-09 13:29:27.504] ;2102;95765.49
[2025-12-09 13:29:27.519] ;2118;95765.02
[2025-12-09 13:29:27.529] ;2135;95765.39
[2025-12-09 13:29:27.546] ;2152;95765.71
[2025-12-09 13:29:27.568] ;2168;95766.16
[2025-12-09 13:29:27.582] ;2185;95766.52
[2025-12-09 13:29:27.601] ;2201;95766.44
[2025-12-09 13:29:27.612] ;2219;95766.41
[2025-12-09 13:29:27.632] ;2235;95766.52
[2025-12-09 13:29:27.650] ;2251;95766.47
[2025-12-09 13:29:27.662] ;2268;95766.69
[2025-12-09 13:29:27.679] ;2285;95766.55
[2025-12-09 13:29:27.695] ;2301;95767.08
[2025-12-09 13:29:27.715] ;2318;95767.28
[2025-12-09 13:29:27.736] ;2334;95767.32
[2025-12-09 13:29:27.753] ;2352;95767.83
[2025-12-09 13:29:27.769] ;2368;95767.35
[2025-12-09 13:29:27.786] ;2384;95768.07
[2025-12-09 13:29:27.802] ;2401;95768.33
[2025-12-09 13:29:27.819] ;2418;95768.24
[2025-12-09 13:29:27.834] ;2435;95768.24
[2025-12-09 13:29:27.850] ;2451;95769.14
[2025-12-09 13:29:27.867] ;2467;95768.77
[2025-12-09 13:29:27.884] ;2485;95768.94
[2025-12-09 13:29:27.900] ;2501;95769.74
[2025-12-09 13:29:27.917] ;2518;95769.07
[2025-12-09 13:29:27.933] ;2534;95769.64
[2025-12-09 13:29:27.950] ;2551;95770.24
[2025-12-09 13:29:27.966] ;2568;95769.94
[2025-12-09 13:29:27.983] ;2584;95770.25
[2025-12-09 13:29:27.999] ;2600;95770.28
[2025-12-09 13:29:28.015] ;2618;95770.86
[2025-12-09 13:29:28.033] ;2634;95770.46
[2025-12-09 13:29:28.052] ;2651;95771.28
[2025-12-09 13:29:28.064] ;2667;95771.24
[2025-12-09 13:29:28.086] ;2684;95771.47
[2025-12-09 13:29:28.097] ;2701;95771.25
[2025-12-09 13:29:28.114] ;2717;95771.08
[2025-12-09 13:29:28.130] ;2734;95771.57
[2025-12-09 13:29:28.150] ;2751;95771.53
[2025-12-09 13:29:28.167] ;2767;95772
[2025-12-09 13:29:28.179] ;2784;95772.38
[2025-12-09 13:29:28.195] ;2800;95772.6
[2025-12-09 13:29:28.211] ;2818;95772.47
[2025-12-09 13:29:28.231] ;2834;95772.21
[2025-12-09 13:29:28.244] ;2850;95773.16
[2025-12-09 13:29:28.261] ;2867;95772.8
[2025-12-09 13:29:28.277] ;2884;95773
[2025-12-09 13:29:28.294] ;2900;95772.74
[2025-12-09 13:29:28.319] ;2917;95773.77
[2025-12-09 13:29:28.336] ;2933;95773.11
[2025-12-09 13:29:28.352] ;2951;95773.74
[2025-12-09 13:29:28.368] ;2967;95774.47
[2025-12-09 13:29:28.380] ;2983;95774.25
[2025-12-09 13:29:28.393] ;3000;95774.24
[2025-12-09 13:29:28.416] ;3017;95774.35
[2025-12-09 13:29:28.433] ;3034;95774.94
[2025-12-09 13:29:28.443] ;3050;95774.83
[2025-12-09 13:29:28.461] ;3066;95775.1
[2025-12-09 13:29:28.476] ;3084;95774.49
[2025-12-09 13:29:28.492] ;3100;95774.57
[2025-12-09 13:29:28.509] ;3117;95775.55
[2025-12-09 13:29:28.531] ;3133;95775
[2025-12-09 13:29:28.548] ;3150;95775.52
[2025-12-09 13:29:28.558] ;3167;95776.02
[2025-12-09 13:29:28.575] ;3183;95776.22
[2025-12-09 13:29:28.600] ;3200;95775.89
[2025-12-09 13:29:28.616] ;3217;95775.71
[2025-12-09 13:29:28.633] ;3233;95776.92
[2025-12-09 13:29:28.649] ;3250;95776.33
[2025-12-09 13:29:28.665] ;3266;95776.53
[2025-12-09 13:29:28.682] ;3283;95777.16
[2025-12-09 13:29:28.699] ;3300;95777.28
[2025-12-09 13:29:28.715] ;3316;95776.85
[2025-12-09 13:29:28.731] ;3333;95777.22
[2025-12-09 13:29:28.748] ;3350;95777.41
[2025-12-09 13:29:28.764] ;3366;95777.89
[2025-12-09 13:29:28.781] ;3383;95777.53
[2025-12-09 13:29:28.797] ;3399;95777.53
[2025-12-09 13:29:28.813] ;3417;95778.47
[2025-12-09 13:29:28.832] ;3433;95778.17
[2025-12-09 13:29:28.847] ;3449;95778.83
[2025-12-09 13:29:28.863] ;3466;95778.82
[2025-12-09 13:29:28.880] ;3483;95778.11
[2025-12-09 13:29:28.896] ;3500;95778.8
[2025-12-09 13:29:28.917] ;3516;95778.85
[2025-12-09 13:29:28.932] ;3532;95779.13
[2025-12-09 13:29:28.946] ;3550;95779.21
[2025-12-09 13:29:28.963] ;3566;95778.94
[2025-12-09 13:29:28.979] ;3582;95779.39
[2025-12-09 13:29:28.996] ;3599;95779.61
[2025-12-09 13:29:29.015] ;3616;95780
[2025-12-09 13:29:29.032] ;3633;95780.19
[2025-12-09 13:29:29.046] ;3649;95779.66
[2025-12-09 13:29:29.063] ;3665;95780.11
[2025-12-09 13:29:29.079] ;3683;95780.22
[2025-12-09 13:29:29.095] ;3699;95780.77
[2025-12-09 13:29:29.112] ;3716;95780.8
[2025-12-09 13:29:29.128] ;3732;95781.25
[2025-12-09 13:29:29.145] ;3749;95780.63
[2025-12-09 13:29:29.161] ;3766;95780.72
[2025-12-09 13:29:29.178] ;3782;95781.33
[2025-12-09 13:29:29.199] ;3799;95780.85
[2025-12-09 13:29:29.211] ;3816;95781.58
[2025-12-09 13:29:29.232] ;3832;95781.38
[2025-12-09 13:29:29.243] ;3849;95781.71
[2025-12-09 13:29:29.260] ;3865;95782.22
[2025-12-09 13:29:29.280] ;3883;95781.66
[2025-12-09 13:29:29.293] ;3899;95783.02
[2025-12-09 13:29:29.309] ;3915;95782.6
[2025-12-09 13:29:29.326] ;3932;95782.64
[2025-12-09 13:29:29.343] ;3949;95783.41
[2025-12-09 13:29:29.359] ;3965;95782.77
