;Timestamp;Pressure_data
[2025-12-09 13:40:39.941] ;1043;95278.77
[2025-12-09 13:40:39.958] ;1055;95278.72
[2025-12-09 13:40:39.974] ;1068;95279.33
[2025-12-09 13:40:39.990] ;1079;95279.44
[2025-12-09 13:40:40.006] ;1091;95279.39
[2025-12-09 13:40:40.023] ;1103;95279.38
[2025-12-09 13:40:40.039] ;1116;95279.47
[2025-12-09 13:40:40.056] ;1128;95279.03
[2025-12-09 13:40:40.072] ;1140;95279.69
[2025-12-09 13:40:40.089] ;1153;95279.96
[2025-12-09 13:40:40.105] ;1165;95280.19
[2025-12-09 13:40:40.122] ;1177;95280
[2025-12-09 13:40:40.138] ;1189;95279.77
[2025-12-09 13:40:40.154] ;1203;95279.99
[2025-12-09 13:40:40.171] ;1220;95279.88
[2025-12-09 13:40:40.187] ;1236;95280.32
[2025-12-09 13:40:40.203] ;1253;95280.36
[2025-12-09 13:40:40.219] ;1269;95280.91
[2025-12-09 13:40:40.240] ;1287;95280.52
[2025-12-09 13:40:40.256] ;1303;95280.27
[2025-12-09 13:40:40.268] ;1319;95280.49
[2025-12-09 13:40:40.285] ;1336;95280.88
[2025-12-09 13:40:40.302] ;1353;95281.07
[2025-12-09 13:40:40.322] ;1370;95281.72
[2025-12-09 13:40:40.334] ;1386;95281.27
[2025-12-09 13:40:40.350] ;1402;95282.5
[2025-12-09 13:40:40.367] ;1420;95281.52
[2025-12-09 13:40:40.383] ;1436;95281.97
[2025-12-09 13:40:40.403] ;1453;95282.55
[2025-12-09 13:40:40.421] ;1469;95282.32
[2025-12-09 13:40:40.436] ;1486;95282.74
[2025-12-09 13:40:40.449] ;1503;95282.35
[2025-12-09 13:40:40.465] ;1519;95283.47
[2025-12-09 13:40:40.485] ;1536;95282.74
[2025-12-09 13:40:40.498] ;1553;95283.3
[2025-12-09 13:40:40.522] ;1569;95283.6
[2025-12-09 13:40:40.539] ;1586;95283.5
[2025-12-09 13:40:40.555] ;1602;95283.91
[2025-12-09 13:40:40.572] ;1619;95283.52
[2025-12-09 13:40:40.588] ;1636;95283.74
[2025-12-09 13:40:40.605] ;1652;95283.86
[2025-12-09 13:40:40.622] ;1669;95283.53
[2025-12-09 13:40:40.630] ;1686;95284.55
[2025-12-09 13:40:40.654] ;1702;95284.83
[2025-12-09 13:40:40.666] ;1719;95284.82
[2025-12-09 13:40:40.683] ;1735;95284.83
[2025-12-09 13:40:40.697] ;1753;95284.96
[2025-12-09 13:40:40.714] ;1769;95285.53
[2025-12-09 13:40:40.730] ;1785;95285.08
[2025-12-09 13:40:40.747] ;1802;95285.24
[2025-12-09 13:40:40.763] ;1819;95285.83
[2025-12-09 13:40:40.780] ;1836;95285.77
[2025-12-09 13:40:40.796] ;1852;95286.07
[2025-12-09 13:40:40.820] ;1868;95286.22
[2025-12-09 13:40:40.837] ;1886;95286.6
[2025-12-09 13:40:40.853] ;1902;95286.72
[2025-12-09 13:40:40.870] ;1918;95286.8
[2025-12-09 13:40:40.886] ;1935;95286.88
[2025-12-09 13:40:40.903] ;1952;95287.14
[2025-12-09 13:40:40.921] ;1969;95287.1
[2025-12-09 13:40:40.936] ;1985;95287.19
[2025-12-09 13:40:40.952] ;2001;95287.42
[2025-12-09 13:40:40.969] ;2019;95287.55
[2025-12-09 13:40:40.985] ;2035;95287.92
[2025-12-09 13:40:41.001] ;2052;95288.08
[2025-12-09 13:40:41.018] ;2068;95287.78
[2025-12-09 13:40:41.034] ;2085;95287.72
[2025-12-09 13:40:41.051] ;2102;95288.38
[2025-12-09 13:40:41.070] ;2118;95288.1
[2025-12-09 13:40:41.084] ;2135;95288.3
[2025-12-09 13:40:41.104] ;2152;95288.77
[2025-12-09 13:40:41.117] ;2168;95289.08
[2025-12-09 13:40:41.133] ;2185;95288.71
[2025-12-09 13:40:41.152] ;2201;95289.21
[2025-12-09 13:40:41.166] ;2219;95288.94
[2025-12-09 13:40:41.183] ;2235;95289.11
[2025-12-09 13:40:41.199] ;2251;95289.14
[2025-12-09 13:40:41.219] ;2268;95289.77
[2025-12-09 13:40:41.232] ;2285;95289.92
[2025-12-09 13:40:41.249] ;2301;95289.94
[2025-12-09 13:40:41.266] ;2318;95290.3
[2025-12-09 13:40:41.283] ;2334;95290.02
[2025-12-09 13:40:41.301] ;2352;95289.97
[2025-12-09 13:40:41.318] ;2368;95290.8
[2025-12-09 13:40:41.332] ;2384;95290.55
[2025-12-09 13:40:41.349] ;2401;95291.58
[2025-12-09 13:40:41.366] ;2418;95290.78
[2025-12-09 13:40:41.383] ;2435;95291.41
[2025-12-09 13:40:41.399] ;2451;95291.64
[2025-12-09 13:40:41.416] ;2467;95291.69
[2025-12-09 13:40:41.435] ;2485;95291.75
[2025-12-09 13:40:41.448] ;2501;95291.36
[2025-12-09 13:40:41.466] ;2518;95291.86
[2025-12-09 13:40:41.481] ;2534;95291.78
[2025-12-09 13:40:41.498] ;2551;95292.64
[2025-12-09 13:40:41.514] ;2568;95292.58
[2025-12-09 13:40:41.533] ;2584;95292.89
[2025-12-09 13:40:41.550] ;2600;95292.88
[2025-12-09 13:40:41.564] ;2618;95292.75
[2025-12-09 13:40:41.580] ;2634;95293
[2025-12-09 13:40:41.597] ;2651;95293.28
[2025-12-09 13:40:41.614] ;2667;95293.14
[2025-12-09 13:40:41.630] ;2684;95293.82
[2025-12-09 13:40:41.647] ;2701;95293.75
[2025-12-09 13:40:41.664] ;2717;95294.1
[2025-12-09 13:40:41.681] ;2734;95293.99
[2025-12-09 13:40:41.697] ;2751;95293.83
[2025-12-09 13:40:41.714] ;2767;95294.35
[2025-12-09 13:40:41.730] ;2784;95294.22
[2025-12-09 13:40:41.746] ;2800;95294.47
[2025-12-09 13:40:41.768] ;2818;95294.46
[2025-12-09 13:40:41.784] ;2834;95294.75
[2025-12-09 13:40:41.801] ;2850;95294.66
[2025-12-09 13:40:41.813] ;2867;95294.94
[2025-12-09 13:40:41.830] ;2884;95295.02
[2025-12-09 13:40:41.846] ;2900;95295.3
[2025-12-09 13:40:41.863] ;2917;95294.75
[2025-12-09 13:40:41.879] ;2933;95295.57
[2025-12-09 13:40:41.895] ;2951;95296.07
[2025-12-09 13:40:41.912] ;2967;95296.63
[2025-12-09 13:40:41.928] ;2983;95295.6
[2025-12-09 13:40:41.948] ;3000;95296.72
[2025-12-09 13:40:41.962] ;3017;95295.75
[2025-12-09 13:40:41.978] ;3034;95296.42
[2025-12-09 13:40:41.995] ;3050;95296.57
[2025-12-09 13:40:42.012] ;3066;95296.41
[2025-12-09 13:40:42.028] ;3084;95296.55
[2025-12-09 13:40:42.046] ;3100;95297.19
[2025-12-09 13:40:42.061] ;3117;95297.07
[2025-12-09 13:40:42.078] ;3133;95297.16
[2025-12-09 13:40:42.095] ;3150;95297.55
[2025-12-09 13:40:42.111] ;3167;95297.77
[2025-12-09 13:40:42.128] ;3183;95297.86
[2025-12-09 13:40:42.145] ;3200;95297.8
[2025-12-09 13:40:42.164] ;3217;95297.99
[2025-12-09 13:40:42.178] ;3233;95298.71
[2025-12-09 13:40:42.195] ;3250;95297.71
[2025-12-09 13:40:42.212] ;3266;95297.83
[2025-12-09 13:40:42.228] ;3283;95298.47
[2025-12-09 13:40:42.245] ;3300;95298.71
[2025-12-09 13:40:42.267] ;3316;95299.02
[2025-12-09 13:40:42.284] ;3333;95299.19
[2025-12-09 13:40:42.300] ;3350;95299.14
[2025-12-09 13:40:42.317] ;3366;95299.5
[2025-12-09 13:40:42.333] ;3383;95299.24
[2025-12-09 13:40:42.366] ;3399;95299.78
[2025-12-09 13:40:42.383] ;3417;95299.46
[2025-12-09 13:40:42.383] ;3433;95299.63
[2025-12-09 13:40:42.399] ;3449;95299.69
[2025-12-09 13:40:42.416] ;3466;95299.88
[2025-12-09 13:40:42.433] ;3483;95300.19
[2025-12-09 13:40:42.447] ;3500;95300.33
[2025-12-09 13:40:42.466] ;3516;95300.46
[2025-12-09 13:40:42.479] ;3532;95301.13
[2025-12-09 13:40:42.497] ;3550;95300.91
[2025-12-09 13:40:42.512] ;3566;95300.77
[2025-12-09 13:40:42.529] ;3582;95300.86
[2025-12-09 13:40:42.548] ;3599;95301.33
[2025-12-09 13:40:42.565] ;3616;95302.13
[2025-12-09 13:40:42.582] ;3633;95301.42
[2025-12-09 13:40:42.598] ;3649;95301.41
[2025-12-09 13:40:42.615] ;3665;95302.36
[2025-12-09 13:40:42.632] ;3683;95301.66
[2025-12-09 13:40:42.647] ;3699;95302.19
[2025-12-09 13:40:42.664] ;3716;95302.22
[2025-12-09 13:40:42.680] ;3732;95301.82
[2025-12-09 13:40:42.696] ;3749;95302.41
[2025-12-09 13:40:42.713] ;3766;95302.35
[2025-12-09 13:40:42.729] ;3782;95302.36
[2025-12-09 13:40:42.745] ;3799;95302.88
[2025-12-09 13:40:42.761] ;3816;95303.22
[2025-12-09 13:40:42.780] ;3832;95303.25
[2025-12-09 13:40:42.797] ;3849;95302.85
[2025-12-09 13:40:42.811] ;3865;95303.3
[2025-12-09 13:40:42.827] ;3883;95303.82
[2025-12-09 13:40:42.850] ;3899;95303.83
[2025-12-09 13:40:42.866] ;3915;95303.5
[2025-12-09 13:40:42.883] ;3932;95303.03
[2025-12-09 13:40:42.899] ;3949;95303.42
[2025-12-09 13:40:42.915] ;3965;95304.07
[2025-12-09 13:40:42.932] ;3982;95304.17
[2025-12-09 13:40:42.948] ;3998;95303.92
[2025-12-09 13:40:42.964] ;4016;95303.53
[2025-12-09 13:40:42.978] ;4032;95304.61
[2025-12-09 13:40:42.997] ;4048;95304.52
[2025-12-09 13:40:43.011] ;4065;95304.38
[2025-12-09 13:40:43.027] ;4082;95305.13
[2025-12-09 13:40:43.044] ;4099;95304.64
[2025-12-09 13:40:43.062] ;4115;95304.88
[2025-12-09 13:40:43.077] ;4131;95305.53
[2025-12-09 13:40:43.094] ;4149;95305.11
[2025-12-09 13:40:43.110] ;4165;95305.44
[2025-12-09 13:40:43.130] ;4182;95305.42
[2025-12-09 13:40:43.148] ;4198;95306.07
[2025-12-09 13:40:43.163] ;4215;95305.92
[2025-12-09 13:40:43.180] ;4232;95305.6
[2025-12-09 13:40:43.196] ;4248;95306.6
[2025-12-09 13:40:43.213] ;4264;95306.22
[2025-12-09 13:40:43.230] ;4282;95306.58
[2025-12-09 13:40:43.246] ;4298;95306.71
[2025-12-09 13:40:43.262] ;4315;95306.17
[2025-12-09 13:40:43.279] ;4331;95307.16
[2025-12-09 13:40:43.296] ;4348;95307.52
[2025-12-09 13:40:43.312] ;4365;95306.94
[2025-12-09 13:40:43.328] ;4381;95307.27
[2025-12-09 13:40:43.345] ;4398;95306.78
[2025-12-09 13:40:43.361] ;4415;95307.36
[2025-12-09 13:40:43.378] ;4431;95306.99
[2025-12-09 13:40:43.395] ;4448;95307.16
[2025-12-09 13:40:43.410] ;4464;95307.5
[2025-12-09 13:40:43.428] ;4482;95307.86
[2025-12-09 13:40:43.444] ;4498;95307.82
[2025-12-09 13:40:43.463] ;4514;95307.52
[2025-12-09 13:40:43.477] ;4531;95308.3
[2025-12-09 13:40:43.497] ;4548;95308.13
[2025-12-09 13:40:43.510] ;4564;95308.78
[2025-12-09 13:40:43.527] ;4581;95308.16
[2025-12-09 13:40:43.544] ;4597;95309.16
[2025-12-09 13:40:43.560] ;4615;95308.47
[2025-12-09 13:40:43.577] ;4631;95308.63
[2025-12-09 13:40:43.593] ;4647;95309.3
[2025-12-09 13:40:43.611] ;4664;95308.86
[2025-12-09 13:40:43.628] ;4681;95309.74
[2025-12-09 13:40:43.644] ;4698;95309.82
[2025-12-09 13:40:43.660] ;4714;95309.44
[2025-12-09 13:40:43.677] ;4730;95309.44
[2025-12-09 13:40:43.693] ;4748;95309.36
[2025-12-09 13:40:43.714] ;4764;95310.02
[2025-12-09 13:40:43.730] ;4781;95309.64
[2025-12-09 13:40:43.747] ;4797;95310.16
[2025-12-09 13:40:43.763] ;4814;95311.07
[2025-12-09 13:40:43.779] ;4831;95310.57
[2025-12-09 13:40:43.795] ;4847;95310.19
[2025-12-09 13:40:43.812] ;4864;95310.8
[2025-12-09 13:40:43.828] ;4881;95311.33
[2025-12-09 13:40:43.845] ;4897;95311.05
[2025-12-09 13:40:43.861] ;4914;95311.13
[2025-12-09 13:40:43.878] ;4930;95311.42
[2025-12-09 13:40:43.894] ;4947;95310.66
[2025-12-09 13:40:43.910] ;4964;95311.38
[2025-12-09 13:40:43.927] ;4980;95311.85
[2025-12-09 13:40:43.943] ;4997;95311.78
[2025-12-09 13:40:43.960] ;5014;95312.02
[2025-12-09 13:40:43.976] ;5030;95312.35
[2025-12-09 13:40:43.992] ;5047;95312.03
[2025-12-09 13:40:44.010] ;5063;95312.41
[2025-12-09 13:40:44.029] ;5081;95311.83
[2025-12-09 13:40:44.043] ;5097;95312.74
[2025-12-09 13:40:44.062] ;5113;95313
[2025-12-09 13:40:44.078] ;5130;95312.92
[2025-12-09 13:40:44.093] ;5147;95312.99
[2025-12-09 13:40:44.110] ;5164;95313.14
[2025-12-09 13:40:44.127] ;5180;95312.19
[2025-12-09 13:40:44.143] ;5196;95313.21
[2025-12-09 13:40:44.160] ;5214;95313.53
[2025-12-09 13:40:44.176] ;5230;95313.35
[2025-12-09 13:40:44.193] ;5246;95313.05
[2025-12-09 13:40:44.210] ;5263;95313.38
[2025-12-09 13:40:44.226] ;5280;95313.8
[2025-12-09 13:40:44.243] ;5297;95313.94
[2025-12-09 13:40:44.258] ;5313;95314.14
[2025-12-09 13:40:44.272] ;5329;95314.6
[2025-12-09 13:40:44.293] ;5347;95313.77
[2025-12-09 13:40:44.309] ;5363;95314.61
[2025-12-09 13:40:44.326] ;5380;95314.66
[2025-12-09 13:40:44.343] ;5396;95314.44
