;Timestamp;Pressure_data
[2025-12-09 14:33:30.846] ;1043;95503.72
[2025-12-09 14:33:30.850] ;1055;95503.71
[2025-12-09 14:33:30.867] ;1068;95503.46
[2025-12-09 14:33:30.882] ;1079;95502.88
[2025-12-09 14:33:30.899] ;1091;95503.19
[2025-12-09 14:33:30.915] ;1103;95503.89
[2025-12-09 14:33:30.932] ;1116;95503.75
[2025-12-09 14:33:30.948] ;1128;95503.49
[2025-12-09 14:33:30.964] ;1140;95503.58
[2025-12-09 14:33:30.981] ;1153;95503.85
[2025-12-09 14:33:30.998] ;1165;95503.52
[2025-12-09 14:33:31.014] ;1177;95504.44
[2025-12-09 14:33:31.034] ;1189;95504.21
[2025-12-09 14:33:31.051] ;1203;95504.32
[2025-12-09 14:33:31.068] ;1220;95504.47
[2025-12-09 14:33:31.084] ;1236;95504.14
[2025-12-09 14:33:31.100] ;1253;95504.14
[2025-12-09 14:33:31.116] ;1269;95504.44
[2025-12-09 14:33:31.132] ;1287;95504.64
[2025-12-09 14:33:31.149] ;1303;95504.19
[2025-12-09 14:33:31.166] ;1319;95504.55
[2025-12-09 14:33:31.182] ;1336;95504.8
[2025-12-09 14:33:31.198] ;1353;95505.05
[2025-12-09 14:33:31.214] ;1370;95505.22
[2025-12-09 14:33:31.231] ;1386;95505.33
[2025-12-09 14:33:31.248] ;1402;95505.27
[2025-12-09 14:33:31.264] ;1420;95505.08
[2025-12-09 14:33:31.280] ;1436;95505.6
[2025-12-09 14:33:31.296] ;1453;95505.71
[2025-12-09 14:33:31.312] ;1469;95506
[2025-12-09 14:33:31.334] ;1486;95505.49
[2025-12-09 14:33:31.350] ;1503;95505.64
[2025-12-09 14:33:31.367] ;1519;95506.53
[2025-12-09 14:33:31.382] ;1536;95506.96
[2025-12-09 14:33:31.399] ;1553;95506.28
[2025-12-09 14:33:31.415] ;1569;95506.44
[2025-12-09 14:33:31.431] ;1586;95506.13
[2025-12-09 14:33:31.449] ;1602;95506.6
[2025-12-09 14:33:31.465] ;1619;95506.66
[2025-12-09 14:33:31.480] ;1636;95506.3
[2025-12-09 14:33:31.498] ;1652;95506.64
[2025-12-09 14:33:31.514] ;1669;95507.47
[2025-12-09 14:33:31.530] ;1686;95506.86
[2025-12-09 14:33:31.547] ;1702;95507.41
[2025-12-09 14:33:31.564] ;1719;95507.38
[2025-12-09 14:33:31.579] ;1735;95508.39
[2025-12-09 14:33:31.596] ;1753;95508.11
[2025-12-09 14:33:31.616] ;1769;95508.07
[2025-12-09 14:33:31.632] ;1785;95508.27
[2025-12-09 14:33:31.648] ;1802;95508.32
[2025-12-09 14:33:31.665] ;1819;95508.49
[2025-12-09 14:33:31.681] ;1836;95508.27
[2025-12-09 14:33:31.698] ;1852;95508.28
[2025-12-09 14:33:31.714] ;1868;95508.64
[2025-12-09 14:33:31.731] ;1886;95509.13
[2025-12-09 14:33:31.747] ;1902;95508.67
[2025-12-09 14:33:31.764] ;1918;95508.99
[2025-12-09 14:33:31.779] ;1935;95509.27
[2025-12-09 14:33:31.797] ;1952;95509.41
[2025-12-09 14:33:31.812] ;1969;95509.57
[2025-12-09 14:33:31.828] ;1985;95509.35
[2025-12-09 14:33:31.846] ;2001;95509.47
[2025-12-09 14:33:31.862] ;2019;95509.53
