;Timestamp;Pressure_data
[2025-12-09 14:51:08.775] ;1043;95419.52
[2025-12-09 14:51:08.775] ;1055;95419.39
[2025-12-09 14:51:08.799] ;1068;95419.44
[2025-12-09 14:51:08.811] ;1079;95419.96
[2025-12-09 14:51:08.823] ;1091;95419.28
[2025-12-09 14:51:08.847] ;1103;95419.38
[2025-12-09 14:51:08.857] ;1116;95419.66
[2025-12-09 14:51:08.880] ;1128;95419.77
[2025-12-09 14:51:08.897] ;1140;95420.21
[2025-12-09 14:51:08.912] ;1153;95420.02
[2025-12-09 14:51:08.924] ;1165;95420.33
[2025-12-09 14:51:08.948] ;1177;95421.08
[2025-12-09 14:51:08.965] ;1189;95420.92
[2025-12-09 14:51:08.984] ;1203;95420.97
[2025-12-09 14:51:08.999] ;1220;95421.25
[2025-12-09 14:51:09.013] ;1236;95421.74
[2025-12-09 14:51:09.029] ;1253;95421.21
[2025-12-09 14:51:09.046] ;1269;95421.14
[2025-12-09 14:51:09.064] ;1287;95421.86
[2025-12-09 14:51:09.079] ;1303;95422.53
[2025-12-09 14:51:09.097] ;1319;95422.21
[2025-12-09 14:51:09.114] ;1336;95422.33
[2025-12-09 14:51:09.130] ;1353;95422.75
[2025-12-09 14:51:09.145] ;1370;95423.24
[2025-12-09 14:51:09.161] ;1386;95423.3
[2025-12-09 14:51:09.177] ;1402;95423.07
[2025-12-09 14:51:09.194] ;1420;95423.44
[2025-12-09 14:51:09.210] ;1436;95423.83
[2025-12-09 14:51:09.227] ;1453;95424.19
[2025-12-09 14:51:09.243] ;1469;95424.74
[2025-12-09 14:51:09.260] ;1486;95424.61
[2025-12-09 14:51:09.281] ;1503;95424.64
[2025-12-09 14:51:09.292] ;1519;95424.83
[2025-12-09 14:51:09.314] ;1536;95424.92
[2025-12-09 14:51:09.330] ;1553;95425.33
[2025-12-09 14:51:09.347] ;1569;95425.47
[2025-12-09 14:51:09.359] ;1586;95425.88
[2025-12-09 14:51:09.379] ;1602;95425.78
[2025-12-09 14:51:09.391] ;1619;95426.33
[2025-12-09 14:51:09.412] ;1636;95426.03
[2025-12-09 14:51:09.426] ;1652;95426.58
[2025-12-09 14:51:09.440] ;1669;95427.02
[2025-12-09 14:51:09.457] ;1686;95426.66
[2025-12-09 14:51:09.475] ;1702;95427.27
[2025-12-09 14:51:09.491] ;1719;95427.47
[2025-12-09 14:51:09.507] ;1735;95427.57
[2025-12-09 14:51:09.527] ;1753;95427.66
