;Timestamp;Pressure_data
[2025-12-09 13:56:16.256] ;1043;95804.08
[2025-12-09 13:56:16.259] ;1055;95803.46
[2025-12-09 13:56:16.275] ;1068;95804.17
[2025-12-09 13:56:16.292] ;1079;95803.85
[2025-12-09 13:56:16.307] ;1091;95803.63
[2025-12-09 13:56:16.324] ;1103;95804.67
[2025-12-09 13:56:16.340] ;1116;95804.08
[2025-12-09 13:56:16.357] ;1128;95804.86
[2025-12-09 13:56:16.373] ;1140;95804.66
[2025-12-09 13:56:16.390] ;1153;95804.69
[2025-12-09 13:56:16.410] ;1165;95804.85
[2025-12-09 13:56:16.427] ;1177;95805.28
[2025-12-09 13:56:16.443] ;1189;95805.33
[2025-12-09 13:56:16.460] ;1203;95805.3
[2025-12-09 13:56:16.476] ;1220;95804.6
[2025-12-09 13:56:16.492] ;1236;95805.14
[2025-12-09 13:56:16.508] ;1253;95805.6
[2025-12-09 13:56:16.525] ;1269;95805.55
[2025-12-09 13:56:16.541] ;1287;95805.72
[2025-12-09 13:56:16.557] ;1303;95806.25
[2025-12-09 13:56:16.574] ;1319;95806.64
[2025-12-09 13:56:16.591] ;1336;95807.19
[2025-12-09 13:56:16.607] ;1353;95806.77
[2025-12-09 13:56:16.623] ;1370;95806.17
[2025-12-09 13:56:16.640] ;1386;95806.86
[2025-12-09 13:56:16.656] ;1402;95807.71
[2025-12-09 13:56:16.673] ;1420;95807.63
[2025-12-09 13:56:16.693] ;1436;95807.42
[2025-12-09 13:56:16.709] ;1453;95807.96
[2025-12-09 13:56:16.725] ;1469;95808.24
[2025-12-09 13:56:16.742] ;1486;95808.35
[2025-12-09 13:56:16.758] ;1503;95808.69
[2025-12-09 13:56:16.774] ;1519;95808.78
[2025-12-09 13:56:16.791] ;1536;95808.75
[2025-12-09 13:56:16.807] ;1553;95809.11
[2025-12-09 13:56:16.823] ;1569;95808.82
[2025-12-09 13:56:16.840] ;1586;95809.33
[2025-12-09 13:56:16.856] ;1602;95809.47
[2025-12-09 13:56:16.873] ;1619;95809.8
[2025-12-09 13:56:16.889] ;1636;95810.11
[2025-12-09 13:56:16.906] ;1652;95810.13
[2025-12-09 13:56:16.923] ;1669;95810.38
[2025-12-09 13:56:16.938] ;1686;95810.57
[2025-12-09 13:56:16.956] ;1702;95811.03
[2025-12-09 13:56:16.972] ;1719;95810.88
[2025-12-09 13:56:16.992] ;1735;95811.36
[2025-12-09 13:56:17.008] ;1753;95810.77
[2025-12-09 13:56:17.024] ;1769;95811.38
[2025-12-09 13:56:17.040] ;1785;95811.63
[2025-12-09 13:56:17.057] ;1802;95811.75
[2025-12-09 13:56:17.074] ;1819;95812.08
[2025-12-09 13:56:17.089] ;1836;95812.64
[2025-12-09 13:56:17.105] ;1852;95813
[2025-12-09 13:56:17.123] ;1868;95812.88
[2025-12-09 13:56:17.139] ;1886;95813.11
[2025-12-09 13:56:17.155] ;1902;95812.89
[2025-12-09 13:56:17.171] ;1918;95813.08
[2025-12-09 13:56:17.188] ;1935;95813.61
[2025-12-09 13:56:17.205] ;1952;95813.55
[2025-12-09 13:56:17.222] ;1969;95813.53
[2025-12-09 13:56:17.238] ;1985;95814.19
[2025-12-09 13:56:17.255] ;2001;95814.55
[2025-12-09 13:56:17.274] ;2019;95814.67
[2025-12-09 13:56:17.290] ;2035;95813.99
[2025-12-09 13:56:17.306] ;2052;95815.21
[2025-12-09 13:56:17.323] ;2068;95815.72
[2025-12-09 13:56:17.341] ;2085;95815.55
[2025-12-09 13:56:17.357] ;2102;95815.35
[2025-12-09 13:56:17.373] ;2118;95815.55
[2025-12-09 13:56:17.389] ;2135;95815.55
[2025-12-09 13:56:17.405] ;2152;95816.02
[2025-12-09 13:56:17.422] ;2168;95816.03
[2025-12-09 13:56:17.438] ;2185;95815.96
[2025-12-09 13:56:17.455] ;2201;95816.47
[2025-12-09 13:56:17.471] ;2219;95816.47
[2025-12-09 13:56:17.487] ;2235;95816.78
[2025-12-09 13:56:17.504] ;2251;95817.3
[2025-12-09 13:56:17.520] ;2268;95817
[2025-12-09 13:56:17.536] ;2285;95817.63
[2025-12-09 13:56:17.552] ;2301;95817.61
[2025-12-09 13:56:17.573] ;2318;95818.3
[2025-12-09 13:56:17.590] ;2334;95818.55
[2025-12-09 13:56:17.606] ;2352;95818.53
[2025-12-09 13:56:17.622] ;2368;95818.46
[2025-12-09 13:56:17.638] ;2384;95818.49
[2025-12-09 13:56:17.656] ;2401;95818.78
[2025-12-09 13:56:17.671] ;2418;95818.61
[2025-12-09 13:56:17.688] ;2435;95819.14
[2025-12-09 13:56:17.704] ;2451;95819.07
[2025-12-09 13:56:17.721] ;2467;95819.25
[2025-12-09 13:56:17.737] ;2485;95819.33
[2025-12-09 13:56:17.753] ;2501;95819.66
[2025-12-09 13:56:17.770] ;2518;95819.85
[2025-12-09 13:56:17.786] ;2534;95820.02
[2025-12-09 13:56:17.803] ;2551;95820.72
[2025-12-09 13:56:17.819] ;2568;95820.99
[2025-12-09 13:56:17.835] ;2584;95821.35
[2025-12-09 13:56:17.855] ;2600;95820.88
[2025-12-09 13:56:17.872] ;2618;95821.24
[2025-12-09 13:56:17.889] ;2634;95821.39
[2025-12-09 13:56:17.905] ;2651;95821.47
[2025-12-09 13:56:17.922] ;2667;95821.96
[2025-12-09 13:56:17.939] ;2684;95822.03
[2025-12-09 13:56:17.954] ;2701;95821.64
[2025-12-09 13:56:17.971] ;2717;95821.61
[2025-12-09 13:56:17.987] ;2734;95822.64
[2025-12-09 13:56:18.003] ;2751;95822.41
[2025-12-09 13:56:18.021] ;2767;95823.05
[2025-12-09 13:56:18.037] ;2784;95823.53
[2025-12-09 13:56:18.053] ;2800;95822.89
[2025-12-09 13:56:18.070] ;2818;95823.75
[2025-12-09 13:56:18.086] ;2834;95823.69
[2025-12-09 13:56:18.101] ;2850;95823.63
[2025-12-09 13:56:18.118] ;2867;95824
[2025-12-09 13:56:18.139] ;2884;95823.85
[2025-12-09 13:56:18.155] ;2900;95824.61
[2025-12-09 13:56:18.171] ;2917;95824.1
[2025-12-09 13:56:18.188] ;2933;95824.71
[2025-12-09 13:56:18.204] ;2951;95824.71
[2025-12-09 13:56:18.221] ;2967;95824.86
[2025-12-09 13:56:18.237] ;2983;95825.03
[2025-12-09 13:56:18.253] ;3000;95825.02
[2025-12-09 13:56:18.270] ;3017;95825.82
[2025-12-09 13:56:18.286] ;3034;95825.32
[2025-12-09 13:56:18.302] ;3050;95825.89
[2025-12-09 13:56:18.319] ;3066;95825.75
[2025-12-09 13:56:18.335] ;3084;95826.41
[2025-12-09 13:56:18.351] ;3100;95826.47
[2025-12-09 13:56:18.368] ;3117;95825.82
[2025-12-09 13:56:18.384] ;3133;95826.83
[2025-12-09 13:56:18.400] ;3150;95826.64
[2025-12-09 13:56:18.417] ;3167;95827.24
[2025-12-09 13:56:18.437] ;3183;95827.1
[2025-12-09 13:56:18.454] ;3200;95827.16
[2025-12-09 13:56:18.471] ;3217;95827.88
[2025-12-09 13:56:18.487] ;3233;95827.72
[2025-12-09 13:56:18.503] ;3250;95828.33
[2025-12-09 13:56:18.520] ;3266;95828.14
[2025-12-09 13:56:18.536] ;3283;95828.21
[2025-12-09 13:56:18.552] ;3300;95828.02
[2025-12-09 13:56:18.568] ;3316;95828.46
[2025-12-09 13:56:18.585] ;3333;95828.67
[2025-12-09 13:56:18.601] ;3350;95828.44
[2025-12-09 13:56:18.617] ;3366;95828.8
[2025-12-09 13:56:18.634] ;3383;95829.42
[2025-12-09 13:56:18.650] ;3399;95829.27
[2025-12-09 13:56:18.666] ;3417;95829.33
[2025-12-09 13:56:18.683] ;3433;95829.46
[2025-12-09 13:56:18.700] ;3449;95830.08
[2025-12-09 13:56:18.721] ;3466;95830.11
[2025-12-09 13:56:18.736] ;3483;95830.03
[2025-12-09 13:56:18.753] ;3500;95829.55
[2025-12-09 13:56:18.769] ;3516;95830.94
[2025-12-09 13:56:18.786] ;3532;95830.32
[2025-12-09 13:56:18.802] ;3550;95830.67
[2025-12-09 13:56:18.819] ;3566;95830.6
[2025-12-09 13:56:18.835] ;3582;95831.07
[2025-12-09 13:56:18.851] ;3599;95831.17
[2025-12-09 13:56:18.867] ;3616;95831.25
[2025-12-09 13:56:18.884] ;3633;95831.33
[2025-12-09 13:56:18.900] ;3649;95831.39
[2025-12-09 13:56:18.916] ;3665;95831.57
[2025-12-09 13:56:18.933] ;3683;95831.91
[2025-12-09 13:56:18.949] ;3699;95832.13
[2025-12-09 13:56:18.966] ;3716;95832.27
